Title,Author,Rating,Rating Count,Genres
The Invisible Life of Addie LaRue,V.E. Schwab,4.2,906636,"['Fantasy', 'Fiction', 'Romance', 'Historical Fiction', 'Audiobook', 'Adult', 'Historical']"
Kingdom of the Wicked,Kerri Maniscalco,3.92,224647,"['Fantasy', 'Romance', 'Young Adult', 'Paranormal', 'Witches', 'Mystery', 'Young Adult Fantasy']"
Greenlights,Matthew McConaughey,4.21,272652,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Self Help']"
Leave the World Behind,Rumaan Alam,3.18,123354,"['Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Horror', 'Mystery Thriller', 'Contemporary']"
In a Holidaze,Christina Lauren,3.72,144199,"['Romance', 'Christmas', 'Contemporary', 'Holiday', 'Fiction', 'Chick Lit', 'Audiobook']"
Ghosts,Dolly Alderton,3.9,86568,"['Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Chick Lit', 'Adult', 'Literary Fiction']"
Transcendent Kingdom,Yaa Gyasi,4.12,138032,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Mental Health', 'Africa', 'Adult']"
Legendborn,Tracy Deonn,4.38,109195,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Retellings', 'Urban Fantasy']"
Cemetery Boys,Aiden Thomas,4.3,80737,"['Fantasy', 'LGBT', 'Young Adult', 'Romance', 'Queer', 'Fiction', 'Paranormal']"
To Sleep in a Sea of Stars,Christopher Paolini,3.79,51363,"['Science Fiction', 'Fiction', 'Fantasy', 'Audiobook', 'Adult', 'Space Opera', 'Space']"
When No One Is Watching,Alyssa Cole,3.52,84421,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Horror', 'Contemporary']"
The Midnight Library,Matt Haig,4.01,1477838,"['Fiction', 'Fantasy', 'Contemporary', 'Audiobook', 'Magical Realism', 'Adult', 'Science Fiction']"
Heart Bones,Colleen Hoover,4.28,402298,"['Romance', 'Contemporary', 'Fiction', 'New Adult', 'Contemporary Romance', 'Young Adult', 'Audiobook']"
Three Wishes,Liane Moriarty,3.78,135827,"['Fiction', 'Chick Lit', 'Contemporary', 'Audiobook', 'Romance', 'Australia', 'Adult']"
Luster,Raven Leilani,3.54,92226,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Romance', 'Adult', 'Race']"
The Last Anniversary,Liane Moriarty,3.78,141669,"['Fiction', 'Chick Lit', 'Mystery', 'Contemporary', 'Audiobook', 'Romance', 'Australia']"
The Night Swim,Megan Goldin,4.05,95356,"['Mystery', 'Thriller', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Adult', 'Suspense']"
The Death of Vivek Oji,Akwaeke Emezi,4.14,53589,"['Fiction', 'Contemporary', 'LGBT', 'Queer', 'Literary Fiction', 'Africa', 'Audiobook']"
